1,"Could not find the specified course.","","","","2012-01-09 05:45:15.143447","2012-01-09 05:45:15.143447"
2,"No books needed for this class.","","","","2012-01-09 05:45:15.168855","2012-01-09 05:45:15.168855"
3,"Materials Not Finalized For This Class.","","","","2012-01-09 05:45:15.175579","2012-01-09 05:45:15.175579"
4,"A. D.: New Orleans After the Deluge","Neufeld","","9780375714887","2012-01-09 05:45:17.95143","2012-01-09 05:45:17.95143"
5,"Anthropology Matters","Fedorak","","9781442601086","2012-01-09 05:45:20.225431","2012-01-09 05:45:20.225431"
6,"Women of the Forest (30th Anniv Ed)","Murphy","","9780231132336","2012-01-09 05:45:20.238841","2012-01-09 05:45:20.238841"
7,"Families We Choose (Rev w/New Preface)","Weston","","9780231110938","2012-01-09 05:45:20.252763","2012-01-09 05:45:20.252763"
8,"Making Sense of Language","Blum","","9780195336382","2012-01-09 05:45:22.039165","2012-01-09 05:45:22.039165"
9,"Through the Language Glass","Deutscher","","9780805081954","2012-01-09 05:45:22.054764","2012-01-09 05:45:22.054764"
10,"Conceiving the New World Order","Ginsburg","","9780520089143","2012-01-09 05:45:24.613179","2012-01-09 05:45:24.613179"
11,"Making Sex","Laqueur","","9780674543553","2012-01-09 05:45:24.627493","2012-01-09 05:45:24.627493"
12,"Woman in the Body (with New Preface)","Martin","","9780807046456","2012-01-09 05:45:24.64044","2012-01-09 05:45:24.64044"
13,"Sexuality in World History","Stearns","","9780415777773","2012-01-09 05:45:28.4912","2012-01-09 05:45:28.4912"
14,"Gender Diversity: Crosscultural Variations","Nanda","","9781577660743","2012-01-09 05:45:28.539436","2012-01-09 05:45:28.539436"
15,"Guide to Getting It On (Commemorative Ed)","Joannides","6th","9781885535337","2012-01-09 05:45:28.553366","2012-01-09 05:45:28.553366"
16,"Sex at Dawn","Ryan","","9780061707810","2012-01-09 05:45:28.572216","2012-01-09 05:45:28.572216"
17,"With Pleasure","Abramson","","9780195146097","2012-01-09 05:45:28.604087","2012-01-09 05:45:28.604087"
18,"Human Sexuality","Levay","","9780878935703","2012-01-09 05:45:28.62596","2012-01-09 05:45:28.62596"
19,"Chen Village: Revolution to Globalization","Chan","3rd","9780520259317","2012-01-09 05:45:33.245419","2012-01-09 05:45:33.245419"
20,"Yemen Chronicle","Caton","","9780809098828","2012-01-09 05:45:37.766292","2012-01-09 05:45:37.766292"
21,"Ethnographic Sorcery","West","","9780226893983","2012-01-09 05:45:37.807955","2012-01-09 05:45:37.807955"
22,"Chicken","Striffler","","9780300123678","2012-01-09 05:45:37.822692","2012-01-09 05:45:37.822692"
23,"Reader in Anthropology of Religion","Lambek","2nd","9781405136143","2012-01-09 05:45:40.694886","2012-01-09 05:45:40.694886"
24,"Dreams That Matter","Mittermaier","","9780520258518","2012-01-09 05:45:40.71029","2012-01-09 05:45:40.71029"
25,"Book of Jerry Falwell","Harding","","9780691089584","2012-01-09 05:45:40.723765","2012-01-09 05:45:40.723765"
26,"Edge of Islam","McIntosh","","9780822345091","2012-01-09 05:45:40.737061","2012-01-09 05:45:40.737061"
27,"Talking About People","Haviland","","9780072994810","2012-01-09 05:45:43.518423","2012-01-09 05:45:43.518423"
28,"Cultural Anthropology","Robbins","6th","9781111833947","2012-01-09 05:45:43.532401","2012-01-09 05:45:43.532401"
29,"Exotic No More: Anthropology on Front Lines","Macclancy","","9780226500133","2012-01-09 05:45:43.549172","2012-01-09 05:45:43.549172"
30,"Life Ascending","Lane","","9780393338669","2012-01-09 05:45:47.291129","2012-01-09 05:45:47.291129"
31,"Primate's Memoir","Sapolsky","","9780743202411","2012-01-09 05:45:47.337681","2012-01-09 05:45:47.337681"
32,"First Human","Gibbons","","9781400076963","2012-01-09 05:45:47.354424","2012-01-09 05:45:47.354424"
33,"How Humans Evolved","Boyd","5th","9780393932713","2012-01-09 05:45:47.368072","2012-01-09 05:45:47.368072"
34,"Endless Forms Most Beautiful","Carroll","","9780393060164","2012-01-09 05:45:47.382196","2012-01-09 05:45:47.382196"
35,"Analyzing Social Settings","Lofland","","9780534528614","2012-01-09 05:45:50.888701","2012-01-09 05:45:50.888701"
36,"When They Read What We Write","Brettell","","9780897894920","2012-01-09 05:45:50.90234","2012-01-09 05:45:50.90234"
37,"Thrice-Told Tale","Wolf","","9780804719803","2012-01-09 05:45:50.915483","2012-01-09 05:45:50.915483"
38,"Gift of a Bride","Nanda","","9780759111509","2012-01-09 05:45:50.928519","2012-01-09 05:45:50.928519"
39,"Writing Ethnographic Fieldnotes, Second Edition","Emerson","2nd","9780226206837","2012-01-09 05:45:50.941601","2012-01-09 05:45:50.941601"
41,"Reading for History of Anthropological Theory","Erickson","3rd","9781442600690","2012-01-09 05:45:53.110206","2012-01-09 05:45:53.110206"
42,"Rhetoric","Aristotle","","9781616403072","2012-01-09 05:45:55.513198","2012-01-09 05:45:55.513198"
43,"Discourse Reader","Jaworski","2nd","9780415346320","2012-01-09 05:45:55.526177","2012-01-09 05:45:55.526177"
44,"Language of Law School","Mertz","","9780195183108","2012-01-09 05:45:55.539592","2012-01-09 05:45:55.539592"
45,"Peaks of Yemen I Summon","Caton","","9780520082618","2012-01-09 05:45:55.555185","2012-01-09 05:45:55.555185"
46,"Verbal Hygiene","Cameron","","9780415103558","2012-01-09 05:45:55.574848","2012-01-09 05:45:55.574848"
47,"Girls of Riyadh","Alsanea","","9780143113478","2012-01-09 05:45:58.833133","2012-01-09 05:45:58.833133"
48,"Culture, Society and Sexuality","Parker","2nd","9780415404563","2012-01-09 05:45:58.847327","2012-01-09 05:45:58.847327"
50,"Law of Desire","Haeri","","9780815624837","2012-01-09 05:45:58.879587","2012-01-09 05:45:58.879587"
51,"Remaking Women","Abu-Lughod","","9780691057927","2012-01-09 05:45:58.918749","2012-01-09 05:45:58.918749"
53,"Gridlock","Mahdavi","","9780804772204","2012-01-09 05:45:58.945533","2012-01-09 05:45:58.945533"
54,"Life as Politics","Bayat","","9780804769242","2012-01-09 05:46:02.417221","2012-01-09 05:46:02.417221"
55,"Carbon Democracy","Mitchell","","9781844677450","2012-01-09 05:46:02.435334","2012-01-09 05:46:02.435334"
57,"Ambiguities of Domination","Wedeen","","9780226877884","2012-01-09 05:46:02.46541","2012-01-09 05:46:02.46541"
58,"Origins of Virtue","Ridley","","9780140264456","2012-01-09 05:46:04.084494","2012-01-09 05:46:04.084494"
